//ID	Skill Name	Identify if it is a lifeskill	Class	Left Handed Requirement	Right hand weapon restriction	Body Armor Requirement	Conch usage test	Skill Phase	Skill Type	Useful/Harmful	Learning Level	Prerequisite	Skill Points Consumption	Discharged Status	Apply point	Cast Range	Process target	Attack mode	Angle	Radius	Skill region shape	Skill prophase management formula	Skill adds surface status formula	Skill SP Formula	Durability consumption formula	Top-up consumption formula	Skill Region Formula	Discharge phase formula	effect phase formula	Positive effect forumala	Opposing effect formula	Bind status ID can be removed manually	Self parameter	Self Effect	Consumable	Duration	Target parameter	Splash parameter	Duration on target	Splash Persists Effect	Morph ID	Summon ID	Discharge Duration	Repeated Discharge Duration	Damage Effect	Play Action	action	keyframe	Attack Sound Effect	character dummy	Character Effect	Base Standard Value	item dummy	Item Effect	Item Effect 2	Path of Flight keyfram	character dummy	item dummy	Path of Flight Effect	Path of Flight speed	Attacked Sound Effect	dummy	Character attacked effect	Effect duration point	Surface attacked effect	Water Surface Effect	ICON	Skill Play Count	Operation Execute Command	Description	Effect	Consumption	Remark
0063	Стальная Воля	1	1,10;8,10;9,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	66,2	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Gtyz	0	0	0	0	Skill_Gtyz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Gtyz	0	1	12	0	-1	-1	307	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0063.tga	0	0	Повышает защиту	Увеличивается на 3 очка с каждым уровнем навыка. Длится 10 секунд	Потребляет 10 МН	0
0064	Усиление	1	8,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	67,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qhtz_Use	Skill_Qhtz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0064.tga	0	0	Увеличивает макс. ЖЗ	Увеличение максимальной ЖЗ на 20 единиц на каждом уровне	Пассивный	0
0065	Сноровка	1	9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	109,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Lqhb_Use	Skill_Lqhb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0065.tga	0	0	Увеличь частоту уклонения	Каждый уровень увеличивает Уклонение на 3 очка	Пассивный	0
0066	Концентрация	1	1,10;8,10;9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jdzz_Use	Skill_Jdzz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0066.tga	0	0	Повышение вероятности попадания	Увеличивает число попаданий на 1 с каждым последующим уровнем	Пассивный	0
0067	Мастер большого меча	1	8,10	1,-1	1,2	1,-1	-1	2	2	1	-1	127,5	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jjsl_Use	Skill_Jjsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0067.tga	0	0	Атака усиливается на 500 с каждым уровнем	Увеличивает урон от двуручных мечей	Пассивный	0
0068	Кровавый Бык	1	8,10	1,-1	1,1;1,2	1,-1	-1	2	2	1	-1	67,3	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Mnrx_Use	Skill_Mnrx_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	48	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0068.tga	0	0	Увеличивает максимальную ЖЗ и Защиту при наличии тату	Максимальный ЖЗ и защита увеличиваются на 10% на 1 ур. Максимальный ЖЗ и защита увеличиваются на 2% на последующих уровня	Пассивный	0
0069	Отклонение	1	9,10	1,1	1,1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Hys_Use	Skill_Hys_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0070	Кровавое безумие	1	9,10	1,1	1,1	1,-1	-1	2	2	1	-1	109,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Pxkg_Use	Skill_Pxkg_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0070.tga	0	0	Увеличивает скорость атаки с двуручными мечами	Увеличивает скорость атаки на 10% для 1 ур. Каждый последующий уровень увеличивает скорость атаки на 2%	Пассивный	0
0071	Звериная сила	1	10,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Shtz_Use	Skill_Shtz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0072	Восстанавливать	1	10,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Tzhf_Use	Skill_Tzhf_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0073	Владение щитом	1	10,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Dpsl_Use	Skill_Dpsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0074	Мастер стрелкового оружия	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	297	0	0	0	0	0	Skill_Gjsl_Use	Skill_Gjsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0074.tga	0	0	Усиливает атаку оружия большой дальности	Усиление атаки на 2 единицы на каждом уровне	Пассивный	0
0075	Путь ветра	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	74,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jfb_Use	Skill_Jfb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0075.tga	0	0	Увеличивает скорость	Увеличивает скорость движения на 2% с каждым уровнем	Пассивный	0
0076	Следопыт	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Clxz_Use	Skill_Clxz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0077	Охотничий камуфляж	1	12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Lrwz_Use	Skill_Lrwz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0078	Мастер огнестрельного оружия	1	12,10	1,-1	1,4	1,-1	-1	2	2	1	-1	74,10	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Hqsl_Use	Skill_Hqsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0078.tga	0	0	Усиливает атаку орудий	Увеличивает урон минимум на 6 и максимум на 10 пунктов за каждый уровень навыка	Пассивный	0
0079	Сила	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jsjc_Use	Skill_Jsjc_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0079.tga	0	0	Увеличивает максимальную МН	Увеличивает максимальные значения МН на 40 для каждого нового уровня	Пассивный	0
0080	Благодать господня	1	13,10;14,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	79,8	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Sy_Use	Skill_Sy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0080.tga	0	0	Увеличивает скорость восстановления МН.	На 1-м уровне увеличивает скорость восстановления МН персонажа на 2. С каждым последующим уровнем скорость восстановления МН ув.	Пассивный	0
0081	Иллюзорный удар	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	1	0	-1	62,3	1	1	3	800	4	1	0	0	0	0	0	SkillSp_Hyz	0	0	0	0	Skill_Hyz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hyz	2	1	14	0	40	2	186	0	0	218,0	0,0	0	9	-1	1018	1600	41	2	195	-1	0	0	s0081.tga	0	0	Создает воздушную волну и повреждает удаленные цели	Сила атаки улучшается в соответствии с уровнем умения и текущей скоростью атаки	Тратится 20 МН	0
0082	Могучий удар	1	8,10	1,-1	1,1;1,2	1,-1	-1	2	1	0	-1	64,3	1	1	1	400	4	1	0	0	0	0	0	SkillSp_Zj	0	0	0	0	Skill_Zj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Zj	1	1	10	0	42	2	187	0	0	218,0	0,0	-1	-1	-1	0	0	43	2	196	0	0	0	s0082.tga	0	0	Нанесение урона противнику в ближнем бою на полную силу	На 1-м уровне усиливает атаку в 1,25 раза. На каждом следующем уровне атака усиливается еще на 5%	Требует 9 МН на уровне 1. Увеличивается на 1 МН на уровень навыка.	0
0083	Первобытная ярость	1	8,10	1,-1	1,1;1,2	1,-1	-1	2	1	0	-1	68,5	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Swzq	0	0	0	0	Skill_Swzq_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Swzq	1	1	12	0	50	-1	102	0	-1	0,0	0,0	-1	-1	-1	0	0	51	-1	103	0	0	0	s0083.tga	0	0	Повреждает ближайшую цель после применения тату	На 1 ур. увеличение нормальной атаки в 3,5 раза. На последующих уровнях ущерб увеличивается	На 1-м уровне расходует 53 МН. На каждом следующем уровне – еще на 3 МН больше	0
0084	Берсерк	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	1	1	-1	81,4	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Kb	0	0	0	0	Skill_Kb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Kb	1	1	12	0	46	2	117	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	-2	236	0	s0084.tga	0	0	Превращает персонажа в Берсерка, чтобы увеличить скорость атаки	Кратковременно увеличивает скорость атаки. Эффект усиливается с каждым уровнем	Тратится 15 МН	0
0085	Удар в спину	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Bc	0	0	0	0	Skill_Bc_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bc	1	1	7	0	-1	-1	0	0	1	124,0	0,0	-1	-1	-1	0	0	-1	2	125	0	0	0	0	0	0	0	0	0	0
0086	Теневой удар	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	70,5	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Guz	0	0	0	0	Skill_Guz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Guz	1	1	41	-1	54	-1	252	0	-1	218,0	0,0	-1	-1	-1	0	0	55	-1	251	0	0	0	s0086.tga	0	0	Постоянное использование двух мечей для атаки и оглушения противника в ближнем бою.	Ущерб для нормальной атаки составляет 110% и вызывает обморок на 3,5 сек. На последующих уровнях ущерб вырастает на 10%, продол	Потребляет 23 МН на 1-м уровне. Увеличивается на 3 МН за каждый уровень навыка	0
0087	Ядовитый дротик	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	70,2	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Db	0	0	0	0	Skill_Db_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Db	2	1	40	-1	56	2	249	0	-1	218,0	0,0	0	9	-1	2004	1600	57	2	198	0	0	0	s0087.tga	0	0	Стреляет дротиком, отравляющим цель	Наносит 12 пунктов урона в секунду в течение 17 секунд на 1-м уровне. С каждым уровнем навыка урон увеличивается на 2 пункта	Тратится 20 МН	0
0088	Оцепенение	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	1	0	0	0	0	0	SkillSp_Mb	0	0	0	0	Skill_Mb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Mb	2	1	7	-1	-1	2	186	0	-1	0,0	0,0	0	9	-1	1019	1600	-1	2	199	0	0	0	s0088.tga	0	0	0	0	0	0
0089	Глаз орла	1	2,5;12,5	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Yy	0	0	0	0	Skill_Yy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Yy	1	1	12	0	58	-1	213	0	-1	0,0	0,0	-1	-1	1	0	0	-1	-1	215	-1	0	0	s0089.tga	0	0	Увеличивает шанс нанесения урона персонажем	Повышает шанс нанесения урона на 3 ед. за уровень	Тратится 10 МН	0
0090	Двойной выстрел	1	2,10;12,10	1,3	1,-1	1,-1	-1	2	1	0	-1	74,3	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Lzj	0	0	0	0	Skill_Lzj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lzj	2	1	7	0	60	-1	105	0	-1	0,0	0,0	0	6	-1	2002	1600	61	2	104	-2	0	0	s0090.tga	0	0	Дважды наносит урон цели	Увеличение атаки в 1,7 раза на 1 ур. Увеличивается на 15% при каждом последующем уровне.	Тратится 20 МН	0
0091	Удар охотника	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Ldc	0	0	0	0	Skill_Ldc_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ldc	1	1	7	0	-1	2	186	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	2	125	0	0	0	0	0	0	0	0	0	0
0092	Звездный удар	1	11,10	1,3	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Hxqj	0	0	0	0	Skill_Hxqj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hxqj	2	1	7	-1	-1	11	139	0	-1	0,0	0,0	0	6	-1	1016	1600	-1	2	140	0	0	0	0	0	0	0	0	0	0
0093	Ледяная стрела	1	2,10;12,10	1,3	1,-1	1,-1	-1	2	1	0	-1	90,2	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Bdj	0	0	0	0	Skill_Bdj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bdj	2	1	7	0	-1	2	296	0	-1	0,0	0,0	0	6	-1	1020	1600	-1	0	0	0	0	0	s0093.tga	0	0	Выпускает ледяную стрелу в далёкую цель, нанося урон и замедляя её	Увеличивает силу атаки в 1,2 раза и замедляет врага на 1-м уровне. Эффект усиливается с каждым уровнем	Тратится 15 МН	0
0094	Калечащий выстрел	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	93,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Tj	0	0	0	0	Skill_Tj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tj	2	1	7	0	66	-1	0	0	1	256,-1	142,0	0	-1	-1	0	0	67	2	144	0	0	0	s0094.tga	0	0	Понижает скорость и частоту уклонения цели	Понижает скорость цели на 50%, уклонение на 20% на 5с на 1 уровне	Потребляет 10 МН на 1-м уровне. Увеличивается на 0,5 МН за каждый уровень навыка.	0
0095	Ослабление	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	94,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Sj	0	0	0	0	Skill_Sj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Sj	2	1	7	0	68	-1	0	0	1	256,-1	260,0	0	-1	-1	0	0	69	2	261	0	0	0	s0095.tga	0	0	Уменьшает силу атаки цели и не позволяет цели использовать навыки	Ослабляет атаку цели на 20%, не дает использовать навыки в течение 5 секунд для 1 ур. С каждым уровнем действует на 0,5 секунды	На 1-м уровне расходует 26 МН. На каждом следующем уровне – еще на 1 МН больше.	0
0096	Выстрел в голову	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	95,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Bt	0	0	0	0	Skill_Bt_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bt	2	1	7	0	70	-1	0	0	1	256,-1	257,0	0	-1	-1	0	0	71	2	258	0	0	0	s0096.tga	0	0	Игнорируя защиту наносит максимальный дамаг	Deals 350 direct damage as well as 5%-10% of target's HP at Level 1. Increases damage by 30 per skill level	На 1-м уровне расходует 32 МН. На каждом следующем уровне – еще на 2 МН больше.	0
0097	Исцеление	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	1000	5	1	0	0	0	0	0	SkillSp_Xzy	0	0	0	0	Skill_Xzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xzy	1	1	12	0	72	-1	113	0	-1	0,0	0,0	-1	-1	-1	0	0	73	2	114	-2	0	0	s0097.tga	0	0	Восстанавливает ЖЗ целевого персонажа и дает небольшое количество ОПЫТа	Восстанавливает ЖЗ цели. Масштабы восстановления зависят от уровня заклинателя, уровня навыков и СПР	Требует 34 МН на 1 уровне. Увеличивается на 4 МН с каждым повышением уровня навыка	0
0098	Восстановление	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	225,3	1	1	1	1000	5	1	0	0	0	0	0	SkillSp_Hfs	0	0	0	0	Skill_Hfs_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hfs	1	1	11	0	74	-1	219	0	-1	159,0	0,0	-1	-1	-1	0	0	-1	2	148	-1	0	0	s0098.tga	0	0	Используй медицинские приспособления, чтобы снять с цели отрицательные эффекты.	0	Тратится 20 МН	0
0099	Призрачный удар	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	2	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Xlcz	0	0	0	0	Skill_Xlcz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlcz	2	1	11	-1	92	-1	190	0	-1	0,0	0,0	0	9	1	2003	1200	93	2	0	-2	0	0	s0099.tga	0	0	Примените высшие силы, чтобы нанести урон цели, несмотря на защиту	Deal magical damage and ignore Physical Defense. Damage determined by skill level and spirit.	На 1-м уровне расходует 32 МН. На каждом следующем уровне – еще на 2 МН больше.	0
0100	Призрачный огонь	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	99,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Xlzh	0	0	0	0	Skill_Xlzh_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlzh	1	1	12	-1	76	-1	191	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	202	-1	0	0	s0100.tga	0	0	Увеличивает атаку персонажа	Увеличивает силу атаки на 11% в течение 180 сек. на 1 уровне. Каждый новый уровень навыка добавляет 1% к силе атаки и 18 сек. к	На 1-м уровне расходует 44 МН. На каждом следующем уровне – еще на 4 МН больше.	0
0101	Мощь бури	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	100,4	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Fzlz	0	0	0	0	Skill_Fzlz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Fzlz	1	1	12	0	78	-1	192	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	170	-1	0	0	s0101.tga	0	0	Увеличь скорость атаки	Увеличивает шанс нанесения критического удара на 6% в течение 138 секунд на 1-м уровне. С каждым новым уровнем скорость атаки	На 1-м уровне расходует 44 МН. На каждом следующем уровне – еще на 4 МН больше	0
0102	Воронка торнадо	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	116,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Jsfb	0	0	0	0	Skill_Jsfb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Jsfb	1	1	12	0	84	-1	193	0	1	247,0	0,0	-1	-1	-1	0	0	-1	-1	203	0	0	0	s0102.tga	0	0	При использовании увеличивает вероятность критического удара	Увеличивает шанс нанесения критического удара на 6% в течение 33 секунд на 1-м уровне. С каждым новым уровнем скорость атаки ра	Тратится 20 МН	0
0103	Ангельский щит	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	102,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Tshd	0	0	0	0	Skill_Tshd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tshd	1	1	12	0	86	-1	159	0	1	194,0	0,0	-1	-1	-1	0	0	-1	-1	160	-2	0	0	s0103.tga	0	0	Увеличивает защиту после применения	На 33 секунды увеличивает защиту на 3% для 1 уровня. С каждым уровнем защита дополнительно усиливается на 3% и длится на 3 секу	Тратится 20 МН	0
0104	Печать старейшины	1	14,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	105,3	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Xzfy	0	0	0	0	Skill_Xzfy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xzfy	1	1	12	0	88	-1	204	0	1	0,0	0,0	-1	-1	-1	0	0	-1	-1	205	0	0	0	s0104.tga	0	0	Мешает цели пользоваться навыками.	Продолжительность 10,5 с на 1 ур. Увеличивается на 0,5 с за каждый уровень навыка	На 1-м уровне расходует 32 МН. На каждом следующем уровне – еще на 2 МН больше.	0
0105	Росчерк тени	1	14,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	119,4	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Ayzz	0	0	0	0	Skill_Ayzz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ayzz	1	1	12	0	90	-1	244	0	1	245,0	0,0	-1	-1	-1	0	0	-1	2	0	-2	179	0	s0105.tga	0	0	Не позволяет цели использовать обычную атаку.	На 1-м уровне длительность 6 сек. Длительность увеличивается на 1 сек. за уровень умения.	На 1-м уровне расходует 33 МН. На каждом следующем уровне – еще на 3 МН больше	0
0106	Магический щит	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	102,3	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Xlpz	0	0	0	0	Skill_Xlpz_End	0	0	83	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlpz	1	1	12	0	98	-1	246	0	1	247,0	0,0	-1	-1	-1	0	0	-1	2	248	-2	0	0	s0106.tga	0	0	Активируйте, чтобы трансформировать получаемый Урон в поглощаемые МН	Персонаж теряет 1 МН вместо каждых полученных 0.75 пунктов урона. Количество урона, поглощаемого с помощью МН, растет на 0.25 з	Пассивный	0
0107	Вой	1	8,10	1,-1	1,1;1,2	1,-1	-1	2	1	0	-1	82,2	1	1	1	0	4	2	0	0	4	0	0	SkillSp_Lh	0	0	SkillArea_Circle_Lh	0	Skill_Lh_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lh	1	1	12	0	44	-1	100	0	-1	0,0	0,0	-1	-1	-1	0	0	45	-1	101	0	0	0	s0107.tga	0	0	Применить боевой клич, чтобы нанести урон соседним целям	При 1 ур. урон увеличивается в 1,05 раза. С каждым следующим уровнем рост урона увеличивается на 0,0	Потребляет 20 МН на 1-м уровне. Увеличивается на 1 МН за каждый уровень навыка.	0
0108	Варварское дробление	1	1,10;8,10;9,10	1,-1	1,2	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	3	0	0	4	0	0	SkillSp_Ymsl	0	0	SkillArea_Circle_Ymsl	0	Skill_Ymsl_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ymsl	1	1	11	0	-1	-1	117	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	101	0	0	0	0	0	0	0	0	0	0
0109	Рубка двумя мечами	1	9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	84,5	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Fsz_Use	Skill_Fsz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0109.tga	0	0	Увеличивает силу атаки парного оружия	Увеличивает атаку леворучного меча на 8%	Пассивный	0
0110	Щипастый щит	1	10,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zjft_Use	Skill_Zjft_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0111	Парирование	1	10,10	1,11	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	2	0	0	2	0	0	SkillSp_Hxdj	0	0	SkillArea_Sector_Hxdj	0	Skill_Hxdj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hxdj	1	1	13	0	-1	-1	0	0	1	136,0	0,0	0	-1	1	0	0	-1	2	109	0	0	0	0	0	0	0	0	0	0
